,acc_mean,acc_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
0x6x0.6,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7547846889952152,0.03218570346190045
0x6x0.7,0.7269841269841271,0.056566760892714466,0.7003155951505098,0.05914727037138234,0.7562200956937798,0.03384765898376122
1x2x0.1,0.7238095238095238,0.06602106140661884,0.7004353062369993,0.06587214476903147,0.7636363636363637,0.028440237270303512
1x2x0.2,0.7174603174603174,0.058751604835943584,0.6949862952546446,0.05914233590697086,0.7669856459330143,0.029463254694826663
1x2x0.3,0.7238095238095238,0.0600243504799637,0.7018429777269646,0.06068017353752007,0.7703349282296651,0.029042608952578604
1x2x0.4,0.726984126984127,0.06188440853847007,0.7044416891692136,0.06158310279445554,0.7705741626794258,0.028638272251951577
1x2x0.5,0.7206349206349205,0.06106471130689438,0.6978882159722977,0.05774796188004155,0.7703349282296651,0.028218005052831962
1x2x0.6,0.7206349206349205,0.06106471130689438,0.6978882159722977,0.05774796188004155,0.7724880382775119,0.027698555914904485
1x2x0.7,0.7174603174603174,0.060858061945019866,0.6925270563269214,0.061266582703540066,0.7717703349282296,0.02809604659961531
1x3x0.1,0.7206349206349206,0.06602106140661967,0.6950741465916231,0.06922459754446893,0.7633971291866029,0.0290475351860063
1x3x0.2,0.726984126984127,0.06188440853847007,0.7044416891692136,0.06158310279445554,0.766267942583732,0.03045662200642906
1x3x0.3,0.7301587301587302,0.05832118435197951,0.7083163330438574,0.05845061136078918,0.7700956937799044,0.028924127646969246
1x3x0.4,0.7238095238095238,0.06602106140661884,0.7004353062369993,0.06587214476903147,0.7710526315789473,0.028615780477441597
1x3x0.5,0.7206349206349205,0.06106471130689438,0.6966563432797508,0.058708366813865216,0.7715311004784688,0.028001674427559915
1x3x0.6,0.7174603174603174,0.060858061945019866,0.6925270563269214,0.061266582703540066,0.7715311004784688,0.028256009117270428
1x3x0.7,0.7206349206349205,0.05678902799999611,0.6950332906622128,0.05867176461931353,0.7717703349282296,0.027163910336520845
1x4x0.1,0.7206349206349206,0.06602106140661967,0.6950741465916231,0.06922459754446893,0.7617224880382775,0.030641627985931782
1x4x0.2,0.7206349206349206,0.06602106140661967,0.6950741465916231,0.06922459754446893,0.7657894736842105,0.030016535815026484
1x4x0.3,0.7269841269841271,0.0628940087497096,0.7043099501116432,0.06326091323123068,0.7688995215311005,0.02768563861908597
1x4x0.4,0.7238095238095238,0.06602106140661884,0.7004353062369993,0.06587214476903147,0.7700956937799044,0.02768563861908597
1x4x0.5,0.7174603174603174,0.060858061945019866,0.6912951836343745,0.06203973503653597,0.7724880382775119,0.02619863002168879
1x4x0.6,0.7174603174603174,0.060858061945019866,0.6912951836343745,0.06203973503653597,0.7724880382775119,0.02917042064534513
1x4x0.7,0.7206349206349205,0.05678902799999611,0.6938014179696659,0.05954350455654136,0.7751196172248803,0.02602877409927287
1x5x0.1,0.7206349206349206,0.06602106140661967,0.6950741465916231,0.06922459754446893,0.7605263157894736,0.03157305657685006
1x5x0.2,0.7206349206349207,0.06106471130689074,0.6963500790240182,0.06603558750021106,0.7668660287081339,0.029604961092655264
1x5x0.3,0.7238095238095238,0.06602106140661884,0.7004353062369993,0.06587214476903147,0.7700956937799044,0.02743905463537116
1x5x0.4,0.7206349206349206,0.06602106140661967,0.6950741465916231,0.06922459754446893,0.7703349282296651,0.02878279764477297
1x5x0.5,0.7174603174603174,0.060858061945019866,0.6912951836343745,0.06203973503653597,0.7717703349282297,0.0281977152748712
1x5x0.6,0.7174603174603174,0.060858061945019866,0.6912951836343745,0.06203973503653597,0.7727272727272727,0.027628730771414922
1x5x0.7,0.7174603174603174,0.06085806194501896,0.6897950350374519,0.06313095389137145,0.7739234449760765,0.02496248415635203
1x6x0.1,0.7206349206349206,0.06602106140661967,0.6950741465916231,0.06922459754446893,0.7614832535885168,0.03055043594185966
1x6x0.2,0.7206349206349206,0.06602106140661967,0.6950741465916231,0.06922459754446893,0.7648325358851674,0.029258578598455886
1x6x0.3,0.7238095238095239,0.06309399020428988,0.698948790466267,0.06713255583189978,0.769976076555024,0.029207185463500773
1x6x0.4,0.7238095238095239,0.06309399020428988,0.698948790466267,0.06713255583189978,0.7698564593301436,0.02862827808928388
1x6x0.5,0.7174603174603174,0.060858061945019866,0.6912951836343745,0.06203973503653597,0.7712918660287081,0.02697892192858713
1x6x0.6,0.7174603174603174,0.060858061945019866,0.6912951836343745,0.06203973503653597,0.774401913875598,0.024508398864263002
1x6x0.7,0.7142857142857142,0.05611958580845527,0.6873894523007091,0.054993151401031316,0.7722488038277511,0.02865325695983448
2x2x0.1,0.7142857142857143,0.04347004424644107,0.6879277566228075,0.0361812437768207,0.7612440191387561,0.023002613165664872
2x2x0.2,0.7396825396825397,0.04708697452124085,0.720899722131544,0.03822605138762308,0.7605263157894736,0.023216221182314253
2x2x0.3,0.7238095238095238,0.05452560011846833,0.6977731925528434,0.038192663377839456,0.7602870813397129,0.02360129995150808
